word,translation
dock,however
studie,study
beskriva,describe
social,social
enligt,according to
innebära,entail
samt,and
form,form
betydelse,significance
fall,case
begrepp,concept
relation,relation
möjlighet,possibility
bild,image
utifrån,based on
skapa,create
analys,analysis
skillnad,difference
utgöra,constitute
perspektiv,perspective
exempelvis,for example
samband,relationship
material,material
respektive,respective
utgångspunkt,point of departure
främst,primarily
däremot,by contrast
tolkning,interpretation
övrig,other
dels,partly
snarare,rather
tolka,interpret
således,thus
bakgrund,background
funktion,function
diskussion,discussion
sammanhang,context
forskning,research
endast,only
individ,individual
beskrivning,description
avhandling,dissertation
syfte,purpose
aspekt,aspect
befinna,be located
beakta,consider
bidra,contribute
centralt,central
delvis,partially
dimension,dimension
diskurs,discourse
dominera,dominate
empirisk,empirical
exempel,example
explicit,explicit
etablera,establish
fenomen,phenomenon
fokus,focus
formulera,formulate
framföra,present
framkomma,emerge
framställning,presentation
framtida,future
frågeställning,research question
frånvaro,absence
följd,consequence
fördel,advantage
fråga,question
förhålla,relate
företeelse,occurrence
föreställning,conception
generellt,generally
grad,degree
händelse,event
identitet,identity
implementera,implement
inkluderande,inclusive
indikator,indicator
insats,intervention
integration,integration
interaktion,interaction
intervention,intervention
jämförelse,comparison
kategori,category
kontext,context
kriterium,criterion
kultur,culture
modell,model
motivation,motivation
metod,method
nätverk,network
narrativ,narrative
princip,principle
relativ,relative
sektor,sector
struktur,structure
strategi,strategy
teori,theory
variabel,variable
