word,translation
största,best
åtminstone,at least
favoritidrottare,favourite athlete
riktig,real
framgångsrik,successful
glida,glide
skridskorna,
starkt,strong
upptäckte,discovered
hårdare,harder
slå,to hit
svagheter,weakness
gällde,related
ansträngning,effort (difficulty)
beteende,behaviour
bråkade,fought
tvungen,forced
att bli av,get rid of
vanor,habits
snäll,kind
tuff,tough
rättvist,fair
fuskiga,dishonest
ändå,anyway
det som gjorde honom,that is what made him
förvandlade,transformed
svagheter,weakness
övervann,overcome
strykor,strengths
